customer_id,txn_date,txn_type,txn_amount
429,1/21/2020,deposit,82
155,1/10/2020,deposit,712
398,1/1/2020,deposit,196
255,1/14/2020,deposit,563
185,1/29/2020,deposit,626
309,1/13/2020,deposit,995
312,1/20/2020,deposit,485
376,1/3/2020,deposit,706
188,1/13/2020,deposit,601
138,1/11/2020,deposit,520
373,1/18/2020,deposit,596
361,1/12/2020,deposit,797
169,1/10/2020,deposit,628
402,1/5/2020,deposit,435
60,1/19/2020,deposit,495
378,1/7/2020,deposit,193
383,1/26/2020,deposit,889
292,1/10/2020,deposit,136
63,1/6/2020,deposit,234
499,1/2/2020,deposit,147
130,1/2/2020,deposit,557
441,1/12/2020,deposit,418
53,1/24/2020,deposit,22
30,1/26/2020,deposit,33
305,1/9/2020,deposit,36
136,1/11/2020,deposit,882
276,1/7/2020,deposit,926
410,1/7/2020,deposit,601
152,1/1/2020,deposit,917
123,1/16/2020,deposit,423
17,1/19/2020,deposit,465
472,1/18/2020,deposit,495
100,1/6/2020,deposit,158
56,1/18/2020,deposit,864
455,1/7/2020,deposit,329
357,1/20/2020,deposit,780
480,1/29/2020,deposit,522
168,1/13/2020,deposit,114
369,1/25/2020,deposit,376
338,1/17/2020,deposit,628
296,1/13/2020,deposit,846
374,1/8/2020,deposit,117
194,1/28/2020,deposit,137
135,1/9/2020,deposit,949
21,1/12/2020,deposit,28
69,1/10/2020,deposit,124
32,1/12/2020,deposit,812
206,1/9/2020,deposit,811
269,1/14/2020,deposit,654
460,1/29/2020,deposit,80
328,1/22/2020,deposit,393
407,1/14/2020,deposit,804
351,1/3/2020,deposit,951
458,1/4/2020,deposit,715
339,1/10/2020,deposit,167
496,1/6/2020,deposit,47
291,1/20/2020,deposit,930
50,1/29/2020,deposit,899
265,1/8/2020,deposit,699
266,1/17/2020,deposit,651
93,1/11/2020,deposit,557
1,1/2/2020,deposit,312
267,1/19/2020,deposit,31
366,1/21/2020,deposit,965
92,1/5/2020,deposit,985
89,1/25/2020,deposit,210
129,1/12/2020,deposit,568
198,1/17/2020,deposit,571
26,1/17/2020,deposit,878
104,1/25/2020,deposit,989
466,1/17/2020,deposit,80
454,1/8/2020,deposit,603
117,1/15/2020,deposit,5
46,1/23/2020,deposit,356
96,1/3/2020,deposit,753
199,1/20/2020,deposit,530
55,1/25/2020,deposit,380
443,1/28/2020,deposit,760
317,1/11/2020,deposit,869
52,1/12/2020,deposit,908
249,1/14/2020,deposit,336
122,1/29/2020,deposit,397
59,1/20/2020,deposit,924
36,1/30/2020,deposit,149
74,1/13/2020,deposit,229
238,1/18/2020,deposit,896
334,1/15/2020,deposit,933
143,1/29/2020,deposit,807
406,1/26/2020,deposit,795
